id,title,document_type,relative_path,s3_key,dealer_id,vehicle_id,allowed_roles,language,version,checksum_sha256
30000000-0000-0000-0000-000000000001,Vehicle Return and Cancellation Policy,help_center,help-center/vehicle-return-policy.md,raw/help-center/vehicle-return-policy.md,,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,e7ffb5098070352ce90a9b8b536e262ee3918b66a5b0d37298a7691c7960c8ef
30000000-0000-0000-0000-000000000002,Documents Needed When Buying a Vehicle,help_center,help-center/documents-for-buying.md,raw/help-center/documents-for-buying.md,,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,476202465d16d86cdb48964b48465ba62407571c511ca73a56cec8d666d47900
30000000-0000-0000-0000-000000000003,Safe Vehicle Payment Guide,help_center,help-center/safe-payment-guide.md,raw/help-center/safe-payment-guide.md,,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,9fac4c4bba4944745d2408491712db64a9b477009e73cdac7cbe81a39b87fc05
30000000-0000-0000-0000-000000000004,Electric Vehicle Buying Guide,buying_guide,help-center/electric-vehicle-buying-guide.md,raw/help-center/electric-vehicle-buying-guide.md,,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,0e66cd83ade6782c73f5017c5f3a700893572e1e3098a6efd45a85c8b2a758bc
30000000-0000-0000-0000-000000000005,How Vehicle Search Results Are Ranked,help_center,help-center/search-ranking-explanation.md,raw/help-center/search-ranking-explanation.md,,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,9fe218ebddefda8e71bfbd5ce79c8b4acc39ded1517ef75501dee3f241b06863
30000000-0000-0000-0000-000000000006,AutoHaus Berlin Used-Vehicle Warranty,dealer_policy,dealer-policies/autohaus-berlin-warranty.md,raw/dealer-policies/autohaus-berlin-warranty.md,10000000-0000-0000-0000-000000000001,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,098bc26e8885a958465b332d7b3a464adef705067e46896bd6ada05a2009c76e
30000000-0000-0000-0000-000000000007,Rhein Motors Warranty and Reservation Terms,dealer_policy,dealer-policies/rhein-motors-warranty.md,raw/dealer-policies/rhein-motors-warranty.md,10000000-0000-0000-0000-000000000002,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,52f8048389fcb3cd91af1de2636d88f54e470508d742d7fe3fa487c4e999dae1
30000000-0000-0000-0000-000000000008,GreenDrive Hamburg Battery and Charging Policy,dealer_policy,dealer-policies/greendrive-battery-policy.md,raw/dealer-policies/greendrive-battery-policy.md,10000000-0000-0000-0000-000000000003,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,dee2c2616e02b4c258e16012ddbb254c3c36ca4bcb16d60672ca54a6794270c2
30000000-0000-0000-0000-000000000009,Bavaria Auto Center Test-Drive Policy,dealer_policy,dealer-policies/bavaria-auto-center-test-drive.md,raw/dealer-policies/bavaria-auto-center-test-drive.md,10000000-0000-0000-0000-000000000004,,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,403166c6456903b312f5961a4b9d702305ed0259d93cff71a040c9d1724fa536
30000000-0000-0000-0000-000000000010,Nordstern Internal Discount Approval Policy,internal_policy,dealer-policies/nordstern-internal-discount-policy.md,raw/dealer-policies/nordstern-internal-discount-policy.md,10000000-0000-0000-0000-000000000005,,"[""dealer"", ""admin""]",en,1,897f99c426316b4ed670b54e025bb2bc5026c6f0585a185ccb7579239fbdd3cb
40000000-0000-0000-0000-000000000001,Volkswagen Golf 1.5 TSI Life Listing Description,vehicle_description,vehicle-descriptions/20000000-0000-0000-0000-000000000001.md,raw/vehicle-descriptions/20000000-0000-0000-0000-000000000001.md,10000000-0000-0000-0000-000000000001,20000000-0000-0000-0000-000000000001,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,02c1662daa97d0362aa8c172d46c4709be94dc41216405a61808d04335e59483
40000000-0000-0000-0000-000000000002,Volkswagen Golf 2.0 TDI Style Listing Description,vehicle_description,vehicle-descriptions/20000000-0000-0000-0000-000000000002.md,raw/vehicle-descriptions/20000000-0000-0000-0000-000000000002.md,10000000-0000-0000-0000-000000000002,20000000-0000-0000-0000-000000000002,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,326bdcef78d0a30d191cb79eafc07dd35de9c3fa41e40de19dc50dadbc05225d
40000000-0000-0000-0000-000000000004,Volkswagen Golf GTE Listing Description,vehicle_description,vehicle-descriptions/20000000-0000-0000-0000-000000000004.md,raw/vehicle-descriptions/20000000-0000-0000-0000-000000000004.md,10000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000004,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,85737d7a922f4dd5b020e986ee385e2ab599dd5e230b0df6dc206b45d93c421a
40000000-0000-0000-0000-000000000013,Tesla Model 3 Long Range AWD Listing Description,vehicle_description,vehicle-descriptions/20000000-0000-0000-0000-000000000013.md,raw/vehicle-descriptions/20000000-0000-0000-0000-000000000013.md,10000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000013,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,b1dcd73c9bc198b284499b1a8feb5f500ef2e1492756ccbf8ba79976e91c3e22
40000000-0000-0000-0000-000000000015,Hyundai Kona Electric 64 kWh Listing Description,vehicle_description,vehicle-descriptions/20000000-0000-0000-0000-000000000015.md,raw/vehicle-descriptions/20000000-0000-0000-0000-000000000015.md,10000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000015,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,6f51ca10ad5847fab920d4cde651a441bdf676a0a73f519613b69ce12d887134
40000000-0000-0000-0000-000000000016,Kia Niro EV Spirit Listing Description,vehicle_description,vehicle-descriptions/20000000-0000-0000-0000-000000000016.md,raw/vehicle-descriptions/20000000-0000-0000-0000-000000000016.md,10000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000016,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,a92e7a3ee225906af6c58e531ddc3d4c133629e780876c92a45dc0c67dd31fc2
40000000-0000-0000-0000-000000000017,Volvo XC40 Recharge Pure Electric Listing Description,vehicle_description,vehicle-descriptions/20000000-0000-0000-0000-000000000017.md,raw/vehicle-descriptions/20000000-0000-0000-0000-000000000017.md,10000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000017,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,a2e1d9f7525ed0e25dbe883e2c271603431bb66643bf0c8ad9c3d98e9afca4e8
40000000-0000-0000-0000-000000000024,Renault Zoe R135 ZE50 Listing Description,vehicle_description,vehicle-descriptions/20000000-0000-0000-0000-000000000024.md,raw/vehicle-descriptions/20000000-0000-0000-0000-000000000024.md,10000000-0000-0000-0000-000000000003,20000000-0000-0000-0000-000000000024,"[""customer"", ""dealer"", ""support"", ""admin""]",en,1,619c5d92dc41ea59244238ed8ca587cc489ce748eb83fdc536de0a26de4f57ae
